Dato;Beskrivelse;Rentedato;Inn;Ut;Til konto;Fra konto
21.09.2026;REMA 1000 GRUNERLOKKA;21.09.2026;;-564,95;;
20.09.2026;KIWI 512 OSLO;20.09.2026;;-84,18;;
20.09.2026;TELIA NORGE AS;20.09.2026;;-399,00;;
18.09.2026;SPOTIFY P4K9Q2L7M;18.09.2026;;-129,00;;
17.09.2026;Vipps*Ola Hansen;17.09.2026;;-334,67;;
17.09.2026;RUTER AS;17.09.2026;;-42,00;;
15.09.2026;ESPRESSO HOUSE;15.09.2026;;-303,32;;
15.09.2026;Lånekassen utbetaling;15.09.2026;11750,00;;;
14.09.2026;NETFLIX.COM;14.09.2026;;-179,00;;
13.09.2026;KIWI 512 OSLO;13.09.2026;;-457,46;;
12.09.2026;7-ELEVEN;12.09.2026;;-149,51;;
12.09.2026;ESPRESSO HOUSE;12.09.2026;;-271,23;;
12.09.2026;STORYTEL NORGE;12.09.2026;;-229,00;;
11.09.2026;JOKER TORSHOV;11.09.2026;;-129,46;;
11.09.2026;NARVESEN;11.09.2026;;-130,24;;
10.09.2026;VIAPLAY GROUP;10.09.2026;;-169,00;;
09.09.2026;NARVESEN;09.09.2026;;-163,46;;
08.09.2026;RUTER AS;08.09.2026;;-42,00;;
07.09.2026;Vipps*Ola Hansen;07.09.2026;;-493,60;;
07.09.2026;SONY INTERACTIVE ENTERTAINMENT;07.09.2026;;-99,00;;
06.09.2026;JOKER TORSHOV;06.09.2026;;-285,58;;
06.09.2026;NARVESEN;06.09.2026;;-219,85;;
05.09.2026;APPLE.COM/BILL ITUNES.COM;05.09.2026;;-29,00;;
04.09.2026;NARVESEN;04.09.2026;;-115,22;;
03.09.2026;ESPRESSO HOUSE;03.09.2026;;-557,26;;
03.09.2026;OPENAI *CHATGPT SUBSCR USD 20,00;03.09.2026;;-211,40;;
02.09.2026;ESPRESSO HOUSE;02.09.2026;;-547,77;;
02.09.2026;ESPRESSO HOUSE;02.09.2026;;-585,78;;
01.09.2026;Vipps*Ola Hansen;01.09.2026;;-299,62;;
01.09.2026;Overføring HUSLEIE Kari Nordmann;01.09.2026;;-6500,00;;
01.09.2026;TRENER 1 AS;01.09.2026;;-459,00;;
31.08.2026;KIWI 512 OSLO;31.08.2026;;-294,30;;
31.08.2026;ESPRESSO HOUSE;31.08.2026;;-51,30;;
30.08.2026;REMA 1000 GRUNERLOKKA;30.08.2026;;-486,77;;
29.08.2026;REMA 1000 GRUNERLOKKA;29.08.2026;;-180,37;;
29.08.2026;KIWI 512 OSLO;29.08.2026;;-551,69;;
28.08.2026;RUTER AS;28.08.2026;;-42,00;;
28.08.2026;KIWI 512 OSLO;28.08.2026;;-360,54;;
27.08.2026;COOP EXTRA;27.08.2026;;-135,82;;
27.08.2026;COOP EXTRA;27.08.2026;;-391,00;;
25.08.2026;COOP EXTRA;25.08.2026;;-341,25;;
25.08.2026;ESPRESSO HOUSE;25.08.2026;;-111,50;;
24.08.2026;NARVESEN;24.08.2026;;-422,55;;
23.08.2026;REMA 1000 GRUNERLOKKA;23.08.2026;;-567,36;;
23.08.2026;KIWI 512 OSLO;23.08.2026;;-129,00;;
22.08.2026;Vipps*Ola Hansen;22.08.2026;;-353,45;;
22.08.2026;APPLE.COM/BILL;22.08.2026;;-99,00;;
21.08.2026;Vipps*Ola Hansen;21.08.2026;;-328,18;;
20.08.2026;JOKER TORSHOV;20.08.2026;;-51,38;;
20.08.2026;TELIA NORGE AS;20.08.2026;;-399,00;;
19.08.2026;7-ELEVEN;19.08.2026;;-612,13;;
18.08.2026;SPOTIFY*PREMIUM;18.08.2026;;-129,00;;
17.08.2026;REMA 1000 GRUNERLOKKA;17.08.2026;;-43,33;;
16.08.2026;COOP EXTRA;16.08.2026;;-355,97;;
15.08.2026;NARVESEN;15.08.2026;;-419,50;;
15.08.2026;COOP EXTRA;15.08.2026;;-392,77;;
15.08.2026;MOVA TRENING ARSAVGIFT;15.08.2026;;-299,00;;
15.08.2026;Lånekassen utbetaling;15.08.2026;11750,00;;;
14.08.2026;COOP EXTRA;14.08.2026;;-51,12;;
14.08.2026;NETFLIX.COM;14.08.2026;;-179,00;;
13.08.2026;KIWI 512 OSLO;13.08.2026;;-459,01;;
13.08.2026;NARVESEN;13.08.2026;;-269,81;;
12.08.2026;KIWI 512 OSLO;12.08.2026;;-503,48;;
12.08.2026;STORYTEL NORGE;12.08.2026;;-229,00;;
11.08.2026;COOP EXTRA;11.08.2026;;-288,85;;
11.08.2026;JOKER TORSHOV;11.08.2026;;-314,65;;
10.08.2026;VIAPLAY GROUP;10.08.2026;;-169,00;;
09.08.2026;KIWI 512 OSLO;09.08.2026;;-523,27;;
09.08.2026;RUTER AS;09.08.2026;;-42,00;;
07.08.2026;NARVESEN;07.08.2026;;-400,08;;
07.08.2026;SONY INTERACTIVE ENTERTAINMENT;07.08.2026;;-99,00;;
06.08.2026;NARVESEN;06.08.2026;;-150,07;;
05.08.2026;APPLE.COM/BILL ITUNES.COM;05.08.2026;;-29,00;;
04.08.2026;RUTER AS;04.08.2026;;-42,00;;
03.08.2026;NARVESEN;03.08.2026;;-508,01;;
03.08.2026;OPENAI *CHATGPT SUBSCR USD 20,00;03.08.2026;;-216,20;;
03.08.2026;TRENER 1 AS;03.08.2026;;-459,00;;
02.08.2026;NARVESEN;02.08.2026;;-186,62;;
01.08.2026;REMA 1000 GRUNERLOKKA;01.08.2026;;-613,92;;
01.08.2026;Overføring HUSLEIE Kari Nordmann;01.08.2026;;-6500,00;;
31.07.2026;JOKER TORSHOV;31.07.2026;;-337,82;;
30.07.2026;JOKER TORSHOV;30.07.2026;;-513,72;;
29.07.2026;JOKER TORSHOV;29.07.2026;;-393,74;;
28.07.2026;RUTER AS;28.07.2026;;-42,00;;
27.07.2026;ESPRESSO HOUSE;27.07.2026;;-249,52;;
26.07.2026;KIWI 512 OSLO;26.07.2026;;-442,28;;
